transaction_id,customer_id,date,event_type,plan,mrr_amount,usage_score,support_tickets,country
TX-CUST-00001-00,CUST-00001,2024-01-02,NEW_SIGNUP,Professional,199.0,52.5,0,India
TX-CUST-00010-00,CUST-00010,2024-01-02,NEW_SIGNUP,Professional,199.0,96.9,0,UK
TX-CUST-00070-00,CUST-00070,2024-01-03,NEW_SIGNUP,Enterprise,899.0,69.5,2,Canada
TX-CUST-00056-00,CUST-00056,2024-01-04,NEW_SIGNUP,Starter,49.0,64.6,2,USA
TX-CUST-00037-00,CUST-00037,2024-01-04,NEW_SIGNUP,Professional,199.0,78.5,2,Germany
TX-CUST-00004-00,CUST-00004,2024-01-04,NEW_SIGNUP,Starter,49.0,80.4,1,India
TX-CUST-00072-00,CUST-00072,2024-01-05,NEW_SIGNUP,Starter,49.0,88.7,1,Australia
TX-CUST-00062-00,CUST-00062,2024-01-05,NEW_SIGNUP,Starter,49.0,89.6,2,India
TX-CUST-00038-00,CUST-00038,2024-01-06,NEW_SIGNUP,Enterprise,899.0,48.3,1,UK
TX-CUST-00025-00,CUST-00025,2024-01-06,NEW_SIGNUP,Enterprise,899.0,77.7,2,UK
TX-CUST-00027-00,CUST-00027,2024-01-06,NEW_SIGNUP,Professional,199.0,89.6,0,USA
TX-CUST-00059-00,CUST-00059,2024-01-06,NEW_SIGNUP,Professional,199.0,89.6,0,USA
TX-CUST-00052-00,CUST-00052,2024-01-06,NEW_SIGNUP,Professional,199.0,51.6,0,Canada
TX-CUST-00058-00,CUST-00058,2024-01-06,NEW_SIGNUP,Starter,49.0,86.5,2,USA
TX-CUST-00061-00,CUST-00061,2024-01-07,NEW_SIGNUP,Professional,199.0,60.2,2,India
TX-CUST-00002-00,CUST-00002,2024-01-07,NEW_SIGNUP,Enterprise,899.0,50.0,0,Germany
TX-CUST-00026-00,CUST-00026,2024-01-07,NEW_SIGNUP,Starter,49.0,45.1,1,India
TX-CUST-00054-00,CUST-00054,2024-01-07,NEW_SIGNUP,Starter,49.0,62.0,1,Australia
TX-CUST-00017-00,CUST-00017,2024-01-08,NEW_SIGNUP,Professional,199.0,47.5,1,Australia
TX-CUST-00006-00,CUST-00006,2024-01-08,NEW_SIGNUP,Enterprise,899.0,84.5,0,Australia
TX-CUST-00067-00,CUST-00067,2024-01-08,NEW_SIGNUP,Professional,199.0,84.5,2,Germany
TX-CUST-00018-00,CUST-00018,2024-01-08,NEW_SIGNUP,Professional,199.0,78.1,2,Australia
TX-CUST-00068-00,CUST-00068,2024-01-09,NEW_SIGNUP,Professional,199.0,81.1,1,Germany
TX-CUST-00033-00,CUST-00033,2024-01-09,NEW_SIGNUP,Professional,199.0,54.5,2,Canada
TX-CUST-00024-00,CUST-00024,2024-01-09,NEW_SIGNUP,Starter,49.0,84.1,2,Australia
TX-CUST-00078-00,CUST-00078,2024-01-10,NEW_SIGNUP,Professional,199.0,50.0,1,Canada
TX-CUST-00028-00,CUST-00028,2024-01-10,NEW_SIGNUP,Enterprise,899.0,76.1,0,Canada
TX-CUST-00073-00,CUST-00073,2024-01-10,NEW_SIGNUP,Professional,199.0,57.8,0,India
TX-CUST-00079-00,CUST-00079,2024-01-10,NEW_SIGNUP,Starter,49.0,47.5,0,India
TX-CUST-00057-00,CUST-00057,2024-01-10,NEW_SIGNUP,Enterprise,899.0,55.8,0,USA
TX-CUST-00019-00,CUST-00019,2024-01-11,NEW_SIGNUP,Professional,199.0,56.2,1,Canada
TX-CUST-00048-00,CUST-00048,2024-01-11,NEW_SIGNUP,Professional,199.0,49.4,2,UK
TX-CUST-00076-00,CUST-00076,2024-01-12,NEW_SIGNUP,Professional,199.0,69.9,2,Germany
TX-CUST-00014-00,CUST-00014,2024-01-12,NEW_SIGNUP,Starter,49.0,92.1,1,UK
TX-CUST-00055-00,CUST-00055,2024-01-12,NEW_SIGNUP,Enterprise,899.0,84.3,0,Canada
TX-CUST-00043-00,CUST-00043,2024-01-12,NEW_SIGNUP,Starter,49.0,75.6,1,USA
TX-CUST-00020-00,CUST-00020,2024-01-12,NEW_SIGNUP,Starter,49.0,62.6,1,Germany
TX-CUST-00063-00,CUST-00063,2024-01-13,NEW_SIGNUP,Professional,199.0,88.0,2,India
TX-CUST-00064-00,CUST-00064,2024-01-13,NEW_SIGNUP,Enterprise,899.0,74.5,2,India
TX-CUST-00008-00,CUST-00008,2024-01-14,NEW_SIGNUP,Professional,199.0,55.3,2,Canada
TX-CUST-00011-00,CUST-00011,2024-01-15,NEW_SIGNUP,Starter,49.0,69.7,2,USA
TX-CUST-00051-00,CUST-00051,2024-01-16,NEW_SIGNUP,Professional,199.0,98.7,1,UK
TX-CUST-00021-00,CUST-00021,2024-01-16,NEW_SIGNUP,Professional,199.0,77.7,2,India
TX-CUST-00041-00,CUST-00041,2024-01-16,NEW_SIGNUP,Enterprise,899.0,72.3,1,USA
TX-CUST-00074-00,CUST-00074,2024-01-17,NEW_SIGNUP,Professional,199.0,58.1,0,Germany
TX-CUST-00040-00,CUST-00040,2024-01-17,NEW_SIGNUP,Professional,199.0,69.7,0,USA
TX-CUST-00009-00,CUST-00009,2024-01-17,NEW_SIGNUP,Professional,199.0,93.7,0,Canada
