transaction_id,customer_id,date,event_type,plan,mrr_amount,usage_score,support_tickets,country
TX-CUST-00136-00,CUST-00136,2024-01-04,NEW_SIGNUP,Enterprise,899.0,95.1,0,Canada
TX-CUST-00274-00,CUST-00274,2024-01-04,NEW_SIGNUP,Starter,49.0,46.5,2,Australia
TX-CUST-00091-00,CUST-00091,2024-01-04,NEW_SIGNUP,Starter,49.0,84.5,2,USA
TX-CUST-00200-00,CUST-00200,2024-01-05,NEW_SIGNUP,Professional,199.0,87.5,1,USA
TX-CUST-00111-00,CUST-00111,2024-01-05,NEW_SIGNUP,Enterprise,899.0,86.8,2,Australia
TX-CUST-00096-00,CUST-00096,2024-01-06,NEW_SIGNUP,Starter,49.0,58.5,1,USA
TX-CUST-00187-00,CUST-00187,2024-01-07,NEW_SIGNUP,Starter,49.0,59.0,1,India
TX-CUST-00230-00,CUST-00230,2024-01-07,NEW_SIGNUP,Professional,199.0,72.4,1,India
TX-CUST-00292-00,CUST-00292,2024-01-07,NEW_SIGNUP,Starter,49.0,64.4,1,Australia
TX-CUST-00005-00,CUST-00005,2024-01-08,NEW_SIGNUP,Enterprise,899.0,84.5,0,Australia
TX-CUST-00023-00,CUST-00023,2024-01-08,NEW_SIGNUP,Professional,199.0,68.7,1,India
TX-CUST-00210-00,CUST-00210,2024-01-08,NEW_SIGNUP,Starter,49.0,71.6,2,Canada
TX-CUST-00281-00,CUST-00281,2024-01-09,NEW_SIGNUP,Starter,49.0,53.0,0,India
TX-CUST-00272-00,CUST-00272,2024-01-09,NEW_SIGNUP,Enterprise,899.0,97.3,1,Canada
TX-CUST-00151-00,CUST-00151,2024-01-09,NEW_SIGNUP,Professional,199.0,59.6,2,Germany
TX-CUST-00145-00,CUST-00145,2024-01-09,NEW_SIGNUP,Enterprise,899.0,82.1,1,UK
TX-CUST-00188-00,CUST-00188,2024-01-10,NEW_SIGNUP,Professional,199.0,89.9,2,Canada
TX-CUST-00067-00,CUST-00067,2024-01-11,NEW_SIGNUP,Starter,49.0,59.6,0,India
TX-CUST-00299-00,CUST-00299,2024-01-11,NEW_SIGNUP,Enterprise,899.0,96.5,1,UK
TX-CUST-00031-00,CUST-00031,2024-01-11,NEW_SIGNUP,Enterprise,899.0,69.5,2,India
TX-CUST-00282-00,CUST-00282,2024-01-12,NEW_SIGNUP,Starter,49.0,66.2,0,UK
TX-CUST-00209-00,CUST-00209,2024-01-12,NEW_SIGNUP,Professional,199.0,49.6,2,Australia
TX-CUST-00089-00,CUST-00089,2024-01-12,NEW_SIGNUP,Enterprise,899.0,63.4,0,Germany
TX-CUST-00058-00,CUST-00058,2024-01-14,NEW_SIGNUP,Professional,199.0,70.8,0,USA
TX-CUST-00269-00,CUST-00269,2024-01-15,NEW_SIGNUP,Professional,199.0,50.9,0,India
TX-CUST-00266-00,CUST-00266,2024-01-17,NEW_SIGNUP,Professional,199.0,76.7,1,Canada
TX-CUST-00176-00,CUST-00176,2024-01-17,NEW_SIGNUP,Starter,49.0,77.3,0,Australia
TX-CUST-00026-00,CUST-00026,2024-01-18,NEW_SIGNUP,Professional,199.0,78.7,1,India
TX-CUST-00205-00,CUST-00205,2024-01-20,NEW_SIGNUP,Starter,49.0,56.5,2,Australia
TX-CUST-00018-00,CUST-00018,2024-01-20,NEW_SIGNUP,Professional,199.0,89.4,0,Canada
TX-CUST-00207-00,CUST-00207,2024-01-20,NEW_SIGNUP,Enterprise,899.0,65.0,1,USA
TX-CUST-00185-00,CUST-00185,2024-01-21,NEW_SIGNUP,Starter,49.0,75.7,1,Germany
TX-CUST-00068-00,CUST-00068,2024-01-23,NEW_SIGNUP,Professional,199.0,45.7,1,Canada
TX-CUST-00257-00,CUST-00257,2024-01-24,NEW_SIGNUP,Enterprise,899.0,67.1,2,Germany
