transaction_id,customer_id,date,event_type,plan,mrr_amount,usage_score,support_tickets,country
ORD-0001-00,CUST-ECOMM-0001,2024-05-16,NEW_SIGNUP,Starter,899.0,41.8,1,UK
ORD-0001-01,CUST-ECOMM-0001,2024-06-25,RENEWAL,Professional,49.0,82.0,2,UK
ORD-0001-02,CUST-ECOMM-0001,2024-07-30,RENEWAL,Professional,899.0,65.5,3,Germany
ORD-0001-03,CUST-ECOMM-0001,2024-08-31,RENEWAL,Professional,899.0,79.2,2,Germany
ORD-0001-04,CUST-ECOMM-0001,2024-09-30,RENEWAL,Starter,199.0,47.5,2,USA
ORD-0002-00,CUST-ECOMM-0002,2024-08-21,NEW_SIGNUP,Starter,899.0,42.2,1,UK
ORD-0002-01,CUST-ECOMM-0002,2024-09-25,RENEWAL,Professional,899.0,58.8,1,Canada
ORD-0002-02,CUST-ECOMM-0002,2024-11-04,RENEWAL,Starter,49.0,68.0,0,UK
ORD-0002-03,CUST-ECOMM-0002,2024-12-03,RENEWAL,Professional,49.0,79.1,0,USA
ORD-0003-00,CUST-ECOMM-0003,2024-03-21,NEW_SIGNUP,Enterprise,49.0,68.8,1,USA
ORD-0003-01,CUST-ECOMM-0003,2024-04-30,RENEWAL,Enterprise,49.0,44.6,1,Canada
ORD-0003-02,CUST-ECOMM-0003,2024-06-02,RENEWAL,Professional,49.0,58.6,3,Canada
ORD-0003-03,CUST-ECOMM-0003,2024-07-06,RENEWAL,Professional,199.0,70.5,3,UK
ORD-0004-00,CUST-ECOMM-0004,2024-01-18,NEW_SIGNUP,Starter,899.0,55.2,3,Canada
ORD-0004-01,CUST-ECOMM-0004,2024-02-22,RENEWAL,Professional,199.0,82.3,3,USA
ORD-0004-02,CUST-ECOMM-0004,2024-03-22,RENEWAL,Enterprise,199.0,64.9,2,Canada
ORD-0004-03,CUST-ECOMM-0004,2024-04-29,RENEWAL,Professional,199.0,67.1,0,Germany
ORD-0005-00,CUST-ECOMM-0005,2024-05-17,NEW_SIGNUP,Starter,899.0,55.8,1,UK
ORD-0006-00,CUST-ECOMM-0006,2024-01-15,NEW_SIGNUP,Starter,199.0,55.7,3,Germany
ORD-0006-01,CUST-ECOMM-0006,2024-02-20,RENEWAL,Starter,199.0,58.6,1,Canada
ORD-0006-02,CUST-ECOMM-0006,2024-03-24,RENEWAL,Starter,199.0,69.0,1,Canada
ORD-0006-03,CUST-ECOMM-0006,2024-04-21,RENEWAL,Enterprise,899.0,60.9,1,Germany
ORD-0007-00,CUST-ECOMM-0007,2024-09-28,NEW_SIGNUP,Professional,49.0,79.1,0,UK
ORD-0007-01,CUST-ECOMM-0007,2024-10-30,RENEWAL,Professional,49.0,65.7,2,Germany
ORD-0008-00,CUST-ECOMM-0008,2024-05-01,NEW_SIGNUP,Enterprise,899.0,56.6,0,Canada
ORD-0008-01,CUST-ECOMM-0008,2024-06-09,RENEWAL,Enterprise,49.0,77.5,3,UK
ORD-0008-02,CUST-ECOMM-0008,2024-07-10,RENEWAL,Professional,49.0,43.2,1,Canada
ORD-0009-00,CUST-ECOMM-0009,2024-04-03,NEW_SIGNUP,Professional,49.0,70.3,3,UK
ORD-0010-00,CUST-ECOMM-0010,2024-10-21,NEW_SIGNUP,Professional,199.0,82.5,2,Canada
ORD-0010-01,CUST-ECOMM-0010,2024-11-23,RENEWAL,Starter,899.0,58.4,2,UK
ORD-0010-02,CUST-ECOMM-0010,2024-12-31,RENEWAL,Starter,199.0,67.9,0,UK
ORD-0011-00,CUST-ECOMM-0011,2024-06-02,NEW_SIGNUP,Professional,49.0,71.5,1,USA
ORD-0011-01,CUST-ECOMM-0011,2024-07-08,RENEWAL,Professional,199.0,87.0,1,Germany
ORD-0011-02,CUST-ECOMM-0011,2024-08-13,RENEWAL,Starter,899.0,73.1,2,Germany
ORD-0011-03,CUST-ECOMM-0011,2024-09-24,RENEWAL,Enterprise,899.0,60.4,3,Canada
ORD-0011-04,CUST-ECOMM-0011,2024-10-24,RENEWAL,Professional,899.0,80.1,0,Canada
